,PipeIDX,CAUSE,LATITUDE,LONGITUDE,yr,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,HurIdx,diftime,distance,frequency,max_int,fourplus,yr,failTF,locGrp,ptlong,ptlat,maxlong,minlat
1324,2970.0,outside,28.9946746,-89.14282440000001,1985.0,27.0,-92.0,0,,75,-995,0.0,0.0,1357.0,14.0,203.0,9.0,987.0,0.0,1985.0,1.0,2,-89.14282440000001,28.9946746,-79.2,18.5
12069,,,,,2002.0,29.1,-89.1,tropical storm,0.0,50,-1003,,,,,,,,,2002.0,0.0,2,-89.1,29.1,-85.0,26.3
4068,5491.0,outside,29.142683,-89.610586,2012.0,0.0,0.0,0,,12,-1050,0.0,0.0,8751.0,141.75,139.96614043604205,8.0,997.0,0.0,2012.0,1.0,2,-89.610586,29.142683,-97.4,42.4
1396,19732.0,outside,29.1816126,-89.2575512,1987.0,0.0,0.0,0,,12,-1050,0.0,0.0,1579.0,226.5833333333333,299.4776418450253,49.0,954.0,0.0,1987.0,1.0,2,-89.2575512,29.1816126,-97.4,42.4
1415,19822.0,outside,29.1816126,-89.2575512,1987.0,0.0,0.0,0,,12,-1050,0.0,0.0,1579.0,269.5833333333333,299.4776418450253,49.0,954.0,0.0,1987.0,1.0,2,-89.2575512,29.1816126,-97.4,42.4
1633,3160.0,outside,29.1816126,-89.2575512,1990.0,0.0,0.0,0,,12,-1050,0.0,0.0,2004.0,244.75,259.12474142984763,17.0,987.0,0.0,1990.0,1.0,2,-89.2575512,29.1816126,-97.4,42.4
6189,24899.0,outside,29.20111,-89.043611,2021.0,29.0,-90.0,0,,40,-1003,0.0,0.0,11873.0,10.0,107.0,71.0,965.0,0.0,2021.0,1.0,2,-89.043611,29.20111,-70.7,28.4
5381,25891.0,outside,29.203019,-89.04394,2018.0,29.0,-88.0,0,,60,-999,0.0,0.0,10774.0,43.0,75.0,39.0,919.0,4.0,2018.0,1.0,2,-89.04394,29.203019,-79.4,24.2
6141,24945.0,human,29.203056,-89.043611,2021.0,0.0,0.0,0,,12,-1050,0.0,0.0,11765.0,196.75,264.17572755751013,65.0,965.0,0.0,2021.0,1.0,2,-89.043611,29.203056,-97.4,42.4
6016,4378.0,outside,29.2186,-89.405817,2021.0,0.0,0.0,0,,12,-1050,0.0,0.0,11765.0,83.75,271.39279098161893,70.0,965.0,0.0,2021.0,1.0,2,-89.405817,29.2186,-97.4,42.4
15222,,,,,2012.0,29.1,-90.0,hurricane,1.0,70,-966,330.0,50.0,,,,,,,2012.0,0.0,2,-90.0,29.1,-50.1,14.9
17901,,,,,2021.0,29.1,-90.2,hurricane,4.0,130,-931,220.0,65.0,,,,,,,2021.0,0.0,2,-90.2,29.1,-78.9,16.5
6721,,,,,1979.0,29.1,-90.6,hurricane,1.0,65,-986,,,,,,,,,1979.0,0.0,2,-90.6,29.1,-75.0,22.0
4202,28484.0,natural,29.1049,-90.1919,2012.0,29.0,-90.0,0,,70,-966,0.0,0.0,9136.0,1.0,6.0,30.0,965.0,0.0,2012.0,1.0,2,-90.1919,29.1049,-50.1,14.9
6275,24798.0,outside,29.105278,-90.191944,2021.0,29.0,-90.0,0,,130,-931,0.0,0.0,12007.0,45.0,0.0,81.0,929.0,4.0,2021.0,1.0,2,-90.191944,29.105278,-78.9,16.5
6240,24834.0,natural,29.107187,-90.194462,2021.0,29.0,-90.0,0,,130,-931,0.0,0.0,12007.0,1.0,0.0,75.0,929.0,4.0,2021.0,1.0,2,-90.194462,29.107187,-78.9,16.5
4471,28131.0,outside,29.10788,-90.16212,2013.0,26.0,-86.0,0,,50,-999,0.0,0.0,9432.0,23.0,298.0,31.0,965.0,0.0,2013.0,1.0,2,-90.16212,29.10788,-80.2,25.1
6236,24836.0,natural,29.156565,-90.175395,2021.0,29.0,-90.0,0,,130,-931,0.0,0.0,12007.0,0.0,4.0,70.0,929.0,4.0,2021.0,1.0,2,-90.175395,29.156565,-78.9,16.5
5553,25653.0,outside,29.156667,-90.175711,2019.0,0.0,0.0,0,,12,-1050,0.0,0.0,10907.0,217.25,296.0662510656746,38.0,919.0,4.0,2019.0,1.0,2,-90.175711,29.156667,-97.4,42.4
5334,26048.0,outside,29.156902,-90.175944,2018.0,28.0,-86.0,0,,55,-990,0.0,0.0,10694.0,11.0,256.0,27.0,981.0,0.0,2018.0,1.0,2,-90.175944,29.156902,-85.8,28.2
10864,,,,,1998.0,29.1,-90.9,tropical storm,0.0,35,-1000,,,,,,,,,1998.0,0.0,2,-90.9,29.1,-90.0,25.7
5044,26605.0,outside,29.1111611,-91.16165278,2017.0,0.0,0.0,0,,12,-1050,0.0,0.0,9785.0,581.75,267.08783494265697,2.0,1001.0,0.0,2017.0,1.0,2,-91.16165278,29.1111611,-97.4,42.4
3808,5694.0,outside,29.137024,-90.732219,2010.0,28.0,-87.0,0,,25,-1013,0.0,0.0,8298.0,1.0,231.0,46.0,950.0,0.0,2010.0,1.0,2,-90.732219,29.137024,-73.8,21.5
3892,5621.0,outside,29.142166,-90.730666,2011.0,0.0,0.0,0,,12,-1050,0.0,0.0,8298.0,184.25,231.9850545586268,10.0,989.0,0.0,2011.0,1.0,2,-90.730666,29.142166,-97.4,42.4
4054,5524.0,outside,29.1451,-90.89953333,2011.0,28.0,-91.0,0,,45,-997,0.0,0.0,8751.0,56.0,70.0,12.0,989.0,0.0,2011.0,1.0,2,-90.89953333,29.1451,-91.4,26.6
5993,4389.0,outside,29.161686,-91.104093,2020.0,29.0,-90.0,0,,100,-970,0.0,0.0,11760.0,41.0,30.0,81.0,965.0,0.0,2020.0,1.0,2,-91.104093,29.161686,-82.6,17.7
3865,5627.0,outside,29.170851,-90.721878,2011.0,0.0,0.0,0,,12,-1050,0.0,0.0,8298.0,163.25,232.06883608248023,11.0,989.0,0.0,2011.0,1.0,2,-90.721878,29.170851,-97.4,42.4
10865,,,,,1998.0,29.2,-90.9,tropical storm,0.0,35,-1001,,,,,,,,,1998.0,0.0,2,-90.9,29.2,-90.0,25.7
4129,5468.0,outside,29.2405,-91.0263,2012.0,0.0,0.0,0,,12,-1050,0.0,0.0,8751.0,218.75,69.2857861510893,7.0,997.0,0.0,2012.0,1.0,2,-91.0263,29.2405,-97.4,42.4
4197,5424.0,outside,29.25633,-91.17833,2012.0,27.0,-87.0,0,,50,-995,0.0,0.0,9019.0,56.0,288.0,9.0,994.0,0.0,2012.0,1.0,2,-91.17833,29.25633,-80.3,25.5
15221,,,,,2012.0,29.2,-90.2,hurricane,1.0,70,-966,330.0,50.0,,,,,,,2012.0,0.0,2,-90.2,29.2,-50.1,14.9
10614,,,,,1997.0,29.2,-89.9,hurricane,1.0,65,-992,,,,,,,,,1997.0,0.0,2,-89.9,29.2,-69.6,27.4
17684,,,,,2020.0,29.2,-90.6,hurricane,3.0,100,-970,190.0,35.0,,,,,,,2020.0,0.0,2,-90.6,29.2,-82.6,17.7
17902,,,,,2021.0,29.2,-90.4,hurricane,4.0,125,-932,210.0,65.0,,,,,,,2021.0,0.0,2,-90.4,29.2,-78.9,16.5
14031,,,,,2008.0,29.2,-90.7,hurricane,2.0,90,-954,315.0,80.0,,,,,,,2008.0,0.0,2,-90.7,29.2,-67.4,13.5
6313,4267.0,outside,29.235256,-90.66936,2022.0,0.0,0.0,0,,12,-1050,0.0,0.0,12102.0,117.5,163.4356091590363,73.0,929.0,4.0,2022.0,1.0,2,-90.66936,29.235256,-97.4,42.4
3418,4048.0,natural,29.2366128,-89.98729209999999,2008.0,28.0,-90.0,0,,95,-955,0.0,0.0,7902.0,16.0,35.0,46.0,946.0,0.0,2008.0,1.0,2,-89.98729209999999,29.2366128,-67.4,13.5
3416,4047.0,outside,29.2366128,-89.98729209999999,2008.0,28.0,-90.0,0,,95,-955,0.0,0.0,7902.0,15.0,35.0,46.0,946.0,0.0,2008.0,1.0,2,-89.98729209999999,29.2366128,-67.4,13.5
3415,4046.0,outside,29.2366128,-89.98729209999999,2008.0,28.0,-90.0,0,,95,-955,0.0,0.0,7902.0,14.0,35.0,46.0,946.0,0.0,2008.0,1.0,2,-89.98729209999999,29.2366128,-67.4,13.5
3398,4034.0,natural,29.2366128,-89.98729209999999,2008.0,28.0,-90.0,0,,95,-955,0.0,0.0,7902.0,2.0,35.0,37.0,953.0,0.0,2008.0,1.0,2,-89.98729209999999,29.2366128,-67.4,13.5
4494,27954.0,outside,29.22007944,-89.3959391,2014.0,0.0,0.0,0,,12,-1050,0.0,0.0,9610.0,89.75,170.5381226662604,36.0,965.0,0.0,2014.0,1.0,2,-89.3959391,29.22007944,-97.4,42.4
5825,25293.0,human,29.24385278,-88.98166667,2020.0,0.0,0.0,0,,12,-1050,0.0,0.0,11252.0,195.75,122.32938308101262,41.0,919.0,4.0,2020.0,1.0,2,-88.98166667,29.24385278,-97.4,42.4
3720,29334.0,human,29.2564,-89.1883,2010.0,0.0,0.0,0,,12,-1050,0.0,0.0,8250.0,145.75,51.55126844574467,48.0,946.0,0.0,2010.0,1.0,2,-89.1883,29.2564,-97.4,42.4
5302,26092.0,outside,29.26083333,-89.19916666,2018.0,0.0,0.0,0,,12,-1050,0.0,0.0,10646.0,194.5,214.67653610545585,24.0,981.0,0.0,2018.0,1.0,2,-89.19916666,29.26083333,-97.4,42.4
6420,24650.0,human,29.27449,-89.24256,2022.0,0.0,0.0,0,,12,-1050,0.0,0.0,12102.0,230.5,242.26875547375104,77.0,929.0,4.0,2022.0,1.0,2,-89.24256,29.27449,-97.4,42.4
1941,3406.0,outside,29.27631780656812,-89.21816316412146,1996.0,0.0,0.0,0,,12,-1050,0.0,0.0,3850.0,124.0,187.2253506996739,52.0,916.0,2.0,1996.0,1.0,2,-89.21816316412146,29.27631780656812,-97.4,42.4
3037,23385.0,outside,29.2784888,-89.3594449,2006.0,26.0,-86.0,0,,60,-1000,0.0,0.0,7393.0,0.0,253.0,54.0,902.0,12.0,2006.0,1.0,2,-89.3594449,29.2784888,-81.9,20.0
2260,22127.0,outside,29.2784888,-89.3594449,2002.0,0.0,0.0,0,,12,-1050,0.0,0.0,5417.0,279.0,281.6826415660034,23.0,990.0,0.0,2002.0,1.0,2,-89.3594449,29.2784888,-97.4,42.4
2830,23185.0,natural,29.2784888,-89.3594449,2005.0,29.0,-89.0,0,,110,-920,0.0,0.0,7004.0,2.0,14.0,46.0,902.0,7.0,2005.0,1.0,2,-89.3594449,29.2784888,-75.1,23.1
3424,4051.0,natural,29.2366128,-89.98729209999999,2008.0,28.0,-90.0,0,,95,-955,0.0,0.0,7902.0,21.0,35.0,46.0,946.0,0.0,2008.0,1.0,2,-89.98729209999999,29.2366128,-67.4,13.5
3417,4050.0,natural,29.2366128,-89.98729209999999,2008.0,28.0,-90.0,0,,95,-955,0.0,0.0,7902.0,16.0,35.0,46.0,946.0,0.0,2008.0,1.0,2,-89.98729209999999,29.2366128,-67.4,13.5
2607,17363.0,human,29.246893,-90.661477,2004.0,0.0,0.0,0,,12,-1050,0.0,0.0,6181.0,276.25,283.3409958029728,60.0,938.0,3.0,2004.0,1.0,2,-90.661477,29.246893,-97.4,42.4
4317,28288.0,human,29.253809,-89.967529,2013.0,0.0,0.0,0,,12,-1050,0.0,0.0,9149.0,171.25,243.7422364368896,30.0,965.0,0.0,2013.0,1.0,2,-89.967529,29.253809,-97.4,42.4
5912,25204.0,human,29.25617816,-89.96341906,2020.0,29.0,-89.0,0,,45,-990,0.0,0.0,11322.0,59.0,10.0,49.0,919.0,4.0,2020.0,1.0,2,-89.96341906,29.25617816,-89.8,17.6
4107,28648.0,human,29.28145,-89.949297,2012.0,0.0,0.0,0,,12,-1050,0.0,0.0,8751.0,195.75,124.40974415274636,8.0,997.0,0.0,2012.0,1.0,2,-89.949297,29.28145,-97.4,42.4
5975,25132.0,natural,29.29937222,-90.64919444,2020.0,29.0,-90.0,0,,100,-970,0.0,0.0,11760.0,0.0,7.0,78.0,965.0,0.0,2020.0,1.0,2,-90.64919444,29.29937222,-82.6,17.7
10613,,,,,1997.0,29.3,-89.7,hurricane,1.0,65,-989,,,,,,,,,1997.0,0.0,2,-89.7,29.3,-69.6,27.4
17284,,,,,2020.0,29.3,-89.8,tropical storm,0.0,45,-990,320.0,0.0,,,,,,,2020.0,0.0,2,-89.8,29.3,-89.8,17.6
5018,26753.0,human,29.3191,-89.8076,2016.0,26.0,-86.0,0,,60,-991,0.0,0.0,10134.0,3.0,276.0,5.0,988.0,0.0,2016.0,1.0,2,-89.8076,29.3191,-77.2,23.4
4030,5560.0,outside,29.268309,-92.356904,2011.0,0.0,0.0,0,,12,-1050,0.0,0.0,8250.0,592.75,229.21796554885984,4.0,990.0,0.0,2011.0,1.0,2,-92.356904,29.268309,-97.4,42.4
7883,,,,,1985.0,29.3,-91.8,tropical storm,0.0,55,-982,,,,,,,,,1985.0,0.0,2,-91.8,29.3,-86.7,23.8
16964,,,,,2019.0,29.3,-91.9,hurricane,1.0,65,-993,220.0,40.0,,,,,,,2019.0,0.0,2,-91.9,29.3,-87.6,27.7
7874,,,,,1985.0,29.4,-92.0,hurricane,1.0,75,-972,,,,,,,,,1985.0,0.0,2,-92.0,29.4,-86.7,23.8
5062,4875.0,outside,29.415,-92.17,2017.0,0.0,0.0,0,,12,-1050,0.0,0.0,9789.0,600.0,286.4712390734436,6.0,997.0,0.0,2017.0,1.0,2,-92.17,29.415,-97.4,42.4
12211,,,,,2002.0,29.5,-92.2,hurricane,1.0,80,-963,,,,,,,,,2002.0,0.0,2,-92.2,29.5,-44.6,10.2
2829,23184.0,natural,29.2784888,-89.3594449,2005.0,29.0,-89.0,0,,110,-920,0.0,0.0,7004.0,2.0,14.0,46.0,902.0,7.0,2005.0,1.0,2,-89.3594449,29.2784888,-75.1,23.1
2823,23182.0,natural,29.2784888,-89.3594449,2005.0,29.0,-89.0,0,,110,-920,0.0,0.0,7004.0,0.0,14.0,46.0,902.0,7.0,2005.0,1.0,2,-89.3594449,29.2784888,-75.1,23.1
3524,24249.0,outside,29.2784888,-89.3594449,2009.0,0.0,0.0,0,,12,-1050,0.0,0.0,8015.0,188.0,289.462478893934,44.0,946.0,0.0,2009.0,1.0,2,-89.3594449,29.2784888,-97.4,42.4
1610,3151.0,outside,29.2784888,-89.3594449,1990.0,0.0,0.0,0,,12,-1050,0.0,0.0,2003.0,192.5,298.36965240987496,18.0,984.0,0.0,1990.0,1.0,2,-89.3594449,29.2784888,-97.4,42.4
2456,22532.0,outside,29.2784888,-89.3594449,2003.0,0.0,0.0,0,,12,-1050,0.0,0.0,5984.0,252.0,243.4682643382359,52.0,938.0,3.0,2003.0,1.0,2,-89.3594449,29.2784888,-97.4,42.4
13196,,,,,2005.0,29.3,-89.6,hurricane,3.0,110,-920,,,,,,,,,2005.0,0.0,2,-89.6,29.3,-75.1,23.1
8073,,,,,1988.0,29.3,-89.1,tropical storm,0.0,45,-1002,,,,,,,,,1988.0,0.0,2,-89.1,29.3,-89.1,29.3
7884,,,,,1985.0,29.3,-89.1,tropical storm,0.0,60,-978,,,,,,,,,1985.0,0.0,2,-89.1,29.3,-86.7,23.8
4699,27487.0,outside,29.310878,-89.296158,2015.0,0.0,0.0,0,,12,-1050,0.0,0.0,9610.0,466.75,178.7331977801278,10.0,995.0,0.0,2015.0,1.0,2,-89.296158,29.310878,-97.4,42.4
2583,22781.0,outside,29.3518223,-89.5246636,2004.0,0.0,0.0,0,,12,-1050,0.0,0.0,6189.0,240.75,292.1320132030164,56.0,938.0,3.0,2004.0,1.0,2,-89.5246636,29.3518223,-97.4,42.4
2824,23183.0,natural,29.3518223,-89.5246636,2005.0,29.0,-89.0,0,,110,-920,0.0,0.0,7004.0,0.0,5.0,46.0,902.0,7.0,2005.0,1.0,2,-89.5246636,29.3518223,-75.1,23.1
4487,27995.0,outside,29.36586,-89.34615,2013.0,28.0,-91.0,0,,25,-1009,0.0,0.0,9610.0,43.0,177.0,36.0,965.0,0.0,2013.0,1.0,2,-89.34615,29.36586,-86.8,21.5
5612,25567.0,human,29.36959,-89.53902,2019.0,28.0,-90.0,0,,50,-998,0.0,0.0,10965.0,17.0,96.0,54.0,919.0,4.0,2019.0,1.0,2,-89.53902,29.36959,-87.6,27.7
5469,25732.0,outside,29.373333,-89.549166,2019.0,0.0,0.0,0,,12,-1050,0.0,0.0,10907.0,143.25,255.69132425259968,38.0,919.0,4.0,2019.0,1.0,2,-89.549166,29.373333,-97.4,42.4
4098,28662.0,outside,29.3736,-89.5514,2012.0,0.0,0.0,0,,12,-1050,0.0,0.0,8751.0,182.75,148.9160647772518,8.0,997.0,0.0,2012.0,1.0,2,-89.5514,29.3736,-97.4,42.4
5927,25186.0,outside,29.373971,-89.550838,2020.0,28.0,-89.0,0,,35,-1006,0.0,0.0,11464.0,1.0,35.0,54.0,919.0,4.0,2020.0,1.0,2,-89.550838,29.373971,-82.9,15.3
4525,27915.0,outside,29.374592,-89.552288,2014.0,0.0,0.0,0,,12,-1050,0.0,0.0,9610.0,114.75,167.36037779948504,35.0,965.0,0.0,2014.0,1.0,2,-89.552288,29.374592,-97.4,42.4
3893,29045.0,human,29.3753,-89.3561,2011.0,0.0,0.0,0,,12,-1050,0.0,0.0,8298.0,185.25,162.67838117833512,13.0,989.0,0.0,2011.0,1.0,2,-89.3561,29.3753,-97.4,42.4
3378,24051.0,outside,29.3873943,-89.5967587,2008.0,0.0,0.0,0,,12,-1050,0.0,0.0,7678.0,279.0,187.3169704079848,7.0,985.0,0.0,2008.0,1.0,2,-89.5967587,29.3873943,-97.4,42.4
1779,20819.0,outside,29.3211477,-89.737409,1993.0,0.0,0.0,0,,12,-1050,0.0,0.0,2855.0,164.5,239.80295118193573,11.0,937.0,5.0,1993.0,1.0,2,-89.737409,29.3211477,-97.4,42.4
3635,4137.0,outside,29.3791112,-90.2600786,2009.0,31.0,-87.0,0,,25,-1013,0.0,0.0,8136.0,59.0,220.0,41.0,950.0,0.0,2009.0,1.0,2,-90.2600786,29.3791112,-83.4,27.0
2821,23181.0,natural,29.3791112,-90.2600786,2005.0,27.0,-89.0,0,,140,-905,0.0,0.0,7009.0,0.0,163.0,37.0,902.0,5.0,2005.0,1.0,2,-90.2600786,29.3791112,-75.1,23.1
544,2029.0,outside,29.3791112,-90.2600786,1980.0,0.0,0.0,0,,12,-1050,0.0,0.0,544.0,158.75,295.0204310577517,27.0,943.0,3.0,1980.0,1.0,2,-90.2600786,29.3791112,-97.4,42.4
15220,,,,,2012.0,29.4,-90.5,hurricane,1.0,65,-968,330.0,50.0,,,,,,,2012.0,0.0,2,-90.5,29.4,-50.1,14.9
2865,17551.0,human,29.4068629,-90.6983309,2005.0,29.0,-89.0,0,,110,-923,0.0,0.0,7006.0,43.0,66.0,47.0,902.0,9.0,2005.0,1.0,2,-90.6983309,29.4068629,-75.1,23.1
3010,17649.0,human,29.411852,-90.2806362,2006.0,0.0,0.0,0,,12,-1050,0.0,0.0,7220.0,214.25,294.7362647023237,47.0,902.0,9.0,2006.0,1.0,2,-90.2806362,29.411852,-97.4,42.4
2633,17385.0,human,29.412525,-90.2794402,2004.0,27.0,-88.0,0,,45,-1008,0.0,0.0,6506.0,1.0,177.0,64.0,938.0,3.0,2004.0,1.0,2,-90.2794402,29.412525,-53.6,12.9
4227,28438.0,outside,29.422222,-89.99,2012.0,29.0,-90.0,0,,70,-966,0.0,0.0,9136.0,47.0,19.0,29.0,965.0,0.0,2012.0,1.0,2,-89.99,29.422222,-50.1,14.9
5408,25787.0,outside,29.423332,-89.990277,2019.0,0.0,0.0,0,,12,-1050,0.0,0.0,10907.0,95.25,280.8423634785579,39.0,919.0,4.0,2019.0,1.0,2,-89.990277,29.423332,-97.4,42.4
2243,22062.0,outside,29.3873943,-89.5967587,2002.0,0.0,0.0,0,,12,-1050,0.0,0.0,5417.0,213.0,277.24355273418007,23.0,990.0,0.0,2002.0,1.0,2,-89.5967587,29.3873943,-97.4,42.4
2880,23215.0,human,29.3873943,-89.5967587,2005.0,27.0,-91.0,0,,115,-927,0.0,0.0,7172.0,38.0,195.0,50.0,902.0,12.0,2005.0,1.0,2,-89.5967587,29.3873943,-69.9,21.3
5407,4638.0,outside,29.3875,-89.44305596,2019.0,0.0,0.0,0,,12,-1050,0.0,0.0,10907.0,95.25,249.24385305316508,38.0,919.0,4.0,2019.0,1.0,2,-89.44305596,29.3875,-97.4,42.4
2124,21839.0,outside,29.3877189,-89.59728319999999,1999.0,0.0,0.0,0,,12,-1050,0.0,0.0,4731.0,112.5,267.2572680792544,55.0,961.0,0.0,1999.0,1.0,2,-89.59728319999999,29.3877189,-97.4,42.4
8069,,,,,1988.0,29.4,-89.2,tropical storm,0.0,40,-1005,,,,,,,,,1988.0,0.0,2,-89.2,29.4,-89.1,29.3
4706,27472.0,outside,29.419868,-89.515921,2015.0,0.0,0.0,0,,12,-1050,0.0,0.0,9610.0,475.75,170.8549590761861,9.0,999.0,0.0,2015.0,1.0,2,-89.515921,29.419868,-97.4,42.4
1532,20136.0,outside,29.4279955,-89.6108947,1989.0,0.0,0.0,0,,12,-1050,0.0,0.0,1726.0,210.25,265.0573277192701,35.0,1001.0,0.0,1989.0,1.0,2,-89.6108947,29.4279955,-97.4,42.4
4416,5348.0,outside,29.4485,-89.43167,2013.0,0.0,0.0,0,,12,-1050,0.0,0.0,9149.0,258.25,254.0197083733671,32.0,965.0,0.0,2013.0,1.0,2,-89.43167,29.4485,-97.4,42.4
4602,27808.0,outside,29.466936,-89.514842,2014.0,0.0,0.0,0,,12,-1050,0.0,0.0,9610.0,180.75,172.6287326303609,35.0,965.0,0.0,2014.0,1.0,2,-89.514842,29.466936,-97.4,42.4
3326,4003.0,outside,29.4804947,-89.6939531,2008.0,0.0,0.0,0,,12,-1050,0.0,0.0,7678.0,203.0,190.4378764439864,10.0,985.0,0.0,2008.0,1.0,2,-89.6939531,29.4804947,-97.4,42.4
2844,17541.0,human,29.4308438,-90.3065437,2005.0,29.0,-89.0,0,,110,-923,0.0,0.0,7006.0,23.0,42.0,36.0,902.0,5.0,2005.0,1.0,2,-90.3065437,29.4308438,-75.1,23.1
2901,17584.0,human,29.4385529,-90.5953651,2005.0,27.0,-92.0,0,,110,-930,0.0,0.0,7171.0,54.0,153.0,46.0,902.0,9.0,2005.0,1.0,2,-90.5953651,29.4385529,-69.9,21.3
2831,17563.0,human,29.4390077,-90.3100305,2005.0,29.0,-89.0,0,,110,-923,0.0,0.0,7006.0,3.0,42.0,41.0,902.0,5.0,2005.0,1.0,2,-90.3100305,29.4390077,-75.1,23.1
2940,17612.0,human,29.4421645,-90.2992464,2006.0,0.0,0.0,0,,12,-1050,0.0,0.0,7220.0,138.25,294.84638498275723,47.0,902.0,9.0,2006.0,1.0,2,-90.2992464,29.4421645,-97.4,42.4
4412,28187.0,human,29.44778,-90.26972,2013.0,0.0,0.0,0,,12,-1050,0.0,0.0,9159.0,254.0,295.83270728100143,29.0,965.0,0.0,2013.0,1.0,2,-90.26972,29.44778,-97.4,42.4
4821,27270.0,human,29.46867,-90.25267,2015.0,27.0,-94.0,0,,45,-1005,0.0,0.0,9786.0,13.0,299.0,9.0,1002.0,0.0,2015.0,1.0,2,-90.25267,29.46867,-94.3,27.0
3668,29389.0,outside,29.47,-90.25444,2010.0,0.0,0.0,0,,12,-1050,0.0,0.0,8250.0,75.75,102.11163566009324,47.0,950.0,0.0,2010.0,1.0,2,-90.25444,29.47,-97.4,42.4
6237,24837.0,natural,29.473423,-90.258522,2021.0,29.0,-90.0,0,,125,-932,0.0,0.0,12004.0,0.0,20.0,70.0,929.0,4.0,2021.0,1.0,2,-90.258522,29.473423,-78.9,16.5
6232,24845.0,natural,29.47350277,-90.2522138,2021.0,26.0,-87.0,0,,90,-967,0.0,0.0,12010.0,0.0,250.0,65.0,965.0,0.0,2021.0,1.0,2,-90.2522138,29.47350277,-78.9,16.5
2693,17447.0,human,29.5117469,-90.331094,2004.0,29.0,-90.0,0,,30,-1000,0.0,0.0,6849.0,58.0,35.0,50.0,931.0,2.0,2004.0,1.0,2,-90.331094,29.5117469,-90.9,24.0
3812,5687.0,natural,28.813577,-89.380689,2010.0,28.0,-87.0,0,,25,-1013,0.0,0.0,8298.0,23.0,147.0,42.0,945.0,0.0,2010.0,1.0,2,-89.380689,28.813577,-73.8,21.5
5205,26306.0,natural,28.843,-89.354,2017.0,29.0,-89.0,0,,75,-983,0.0,0.0,10643.0,6.0,20.0,26.0,981.0,0.0,2017.0,1.0,2,-89.354,28.843,-81.8,12.0
3823,5682.0,outside,28.963518,-89.40272,2010.0,28.0,-87.0,0,,25,-1013,0.0,0.0,8298.0,38.0,152.0,27.0,946.0,0.0,2010.0,1.0,2,-89.40272,28.963518,-73.8,21.5
2081,3492.0,outside,28.9946746,-89.14282440000001,1998.0,0.0,0.0,0,,12,-1050,0.0,0.0,4356.0,249.0,295.09829481819423,30.0,981.0,0.0,1998.0,1.0,2,-89.14282440000001,28.9946746,-97.4,42.4
2108,3520.0,outside,28.9946746,-89.14282440000001,1998.0,29.0,-88.0,0,,95,-961,0.0,0.0,4722.0,2.0,44.0,59.0,961.0,0.0,1998.0,1.0,2,-89.14282440000001,28.9946746,-25.1,9.7
1846,3336.0,outside,28.9946746,-89.14282440000001,1994.0,0.0,0.0,0,,12,-1050,0.0,0.0,2855.0,600.5,263.55139254091995,11.0,937.0,5.0,1994.0,1.0,2,-89.14282440000001,28.9946746,-97.4,42.4
4418,28181.0,human,29.31589,-89.28764,2013.0,0.0,0.0,0,,12,-1050,0.0,0.0,9149.0,258.25,266.6251614834693,32.0,965.0,0.0,2013.0,1.0,2,-89.28764,29.31589,-97.4,42.4
1877,3363.0,outside,29.3240045,-89.4742177,1995.0,0.0,0.0,0,,12,-1050,0.0,0.0,3157.0,155.75,261.3149209715226,22.0,993.0,0.0,1995.0,1.0,2,-89.4742177,29.3240045,-97.4,42.4
2165,21956.0,outside,29.3240045,-89.4742177,2000.0,0.0,0.0,0,,12,-1050,0.0,0.0,4959.0,132.25,290.5426969123816,36.0,961.0,0.0,2000.0,1.0,2,-89.4742177,29.3240045,-97.4,42.4
1919,3405.0,outside,29.3240045,-89.4742177,1995.0,29.0,-87.0,0,,110,-938,0.0,0.0,3836.0,0.0,109.0,50.0,916.0,2.0,1995.0,1.0,2,-89.4742177,29.3240045,-85.7,19.1
2201,22000.0,outside,29.3240045,-89.4742177,2001.0,0.0,0.0,0,,12,-1050,0.0,0.0,5220.0,216.5,276.18512071760284,12.0,998.0,0.0,2001.0,1.0,2,-89.4742177,29.3240045,-97.4,42.4
1477,3073.0,outside,29.3240045,-89.4742177,1988.0,0.0,0.0,0,,12,-1050,0.0,0.0,1649.0,283.25,270.77268819944265,33.0,990.0,0.0,1988.0,1.0,2,-89.4742177,29.3240045,-97.4,42.4
2111,3522.0,outside,29.3240045,-89.4742177,1998.0,29.0,-88.0,0,,90,-964,0.0,0.0,4720.0,7.0,56.0,59.0,961.0,0.0,1998.0,1.0,2,-89.4742177,29.3240045,-25.1,9.7
2159,21928.0,outside,29.3240045,-89.4742177,2000.0,0.0,0.0,0,,12,-1050,0.0,0.0,4959.0,115.25,290.5426969123816,36.0,961.0,0.0,2000.0,1.0,2,-89.4742177,29.3240045,-97.4,42.4
3344,4012.0,natural,29.3518223,-89.5246636,2008.0,0.0,0.0,0,,12,-1050,0.0,0.0,7678.0,234.0,184.28217168304352,11.0,985.0,0.0,2008.0,1.0,2,-89.5246636,29.3518223,-97.4,42.4
12891,,,,,2004.0,30.0,-87.9,hurricane,3.0,105,-943,350.0,165.0,,,,,,,2004.0,0.0,2,-87.9,30.0,-27.6,8.9
12890,,,,,2004.0,30.2,-87.9,hurricane,3.0,105,-946,,,,,,,,,2004.0,0.0,2,-87.9,30.2,-27.6,8.9
